loan_id,customer_id,account_id,loan_type_id,amount,start_date,term_months,interest_rate,issued_by_employee_id
37,10596,12575,3,83793.82,2021-01-25,24,6.55,748
38,3209,18736,1,62482.28,2021-12-11,60,3.42,857
39,18441,158,1,95227.56,2023-02-13,60,7.39,1585
40,11725,20230,3,42832.82,2023-10-19,48,8.06,475
41,9477,9088,4,38095.29,2021-12-22,24,3.49,1083
42,18593,1790,3,34343.66,2023-08-11,24,9.28,511
43,13569,17769,3,77908.58,2024-04-13,36,7.39,1706
44,400,23228,3,96249.86,2023-11-15,60,4.81,1500
45,10506,32135,2,50270.26,2022-09-15,24,4.69,700
46,14609,17713,2,59137.9,2022-07-23,24,5.87,976
47,9298,16088,2,76796.45,2022-03-20,48,9.21,1807
48,17462,17417,1,49785.71,2021-01-06,24,9.87,190
49,4202,29433,3,72779.96,2022-03-31,24,7.31,958
50,11448,8638,3,31202.93,2023-10-21,24,8.78,687
51,11467,35006,3,7136.45,2022-05-12,60,8.62,958
52,19561,12720,2,69189.37,2020-09-16,60,3.31,563
53,6206,16517,2,60509.48,2022-10-16,48,4.52,1900
54,8366,29266,2,17326.2,2023-08-30,24,8.1,1591
55,1031,15282,3,30622.27,2022-06-21,12,8.2,1268
56,15640,38449,2,34578.16,2022-01-07,48,4.26,832
57,1173,28449,2,92386.55,2022-04-06,48,9.46,1529
58,6149,39051,1,58888.5,2022-03-31,60,4.13,1155
59,6946,9631,4,23394.38,2022-01-08,24,5.06,1509
60,407,38069,2,5338.37,2024-06-21,48,3.12,1843
61,9999,19922,2,99183.13,2020-10-12,60,6.88,647
62,19834,33058,3,91704.49,2020-09-18,24,8.43,21
63,2959,37851,1,83634.88,2021-06-10,12,7.52,841
64,6624,34652,2,29428.59,2021-02-18,12,8.54,167
65,7495,14207,4,17582.5,2024-06-25,48,4.6,1298
66,10361,32990,4,79187.37,2022-03-07,12,8.32,388
67,13102,31398,4,80510.93,2021-05-17,36,4.79,601
68,11939,17443,2,24111.96,2021-01-24,60,6.37,316
69,9129,13358,4,4823.17,2021-07-18,36,5.37,14
70,6823,14320,4,98199.09,2024-06-19,24,5.91,242
71,4111,21125,4,98084.78,2020-12-17,24,8.61,777
72,13022,22771,3,19689.11,2023-02-24,24,6.14,1370
73,4301,1307,4,97167.83,2021-05-09,24,5.3,565
74,14142,19537,4,3375.05,2021-11-27,48,9.15,898
75,59,25734,4,91165.5,2023-06-21,12,7.07,1364
76,14578,19571,4,56992.06,2023-04-28,48,5.29,92
77,18953,7002,4,23716.43,2024-07-01,48,7.24,1391
78,5299,2833,2,2418.43,2024-01-05,24,8.83,956
79,19596,23216,2,48036.85,2020-09-11,36,5.47,1479
80,7205,24578,1,70029.66,2023-04-11,36,5.26,1452
81,4371,12204,3,41007.14,2021-03-18,24,7.07,509
82,16828,7951,1,79195.51,2023-02-23,12,6.73,776
83,5266,4736,4,5902.54,2021-02-09,36,3.83,1967
84,8710,28275,4,15717.41,2023-02-25,24,7.73,35
85,13719,15063,1,18436.22,2023-02-16,48,3.01,206
86,10482,22619,4,54128.11,2021-11-12,24,4.18,1105
87,6268,7049,2,10666.25,2023-11-05,36,5.92,1956
88,10750,5923,2,8515.2,2022-09-22,48,8.39,1586
89,4049,30666,1,59592.4,2020-10-26,48,3.23,1896
90,9094,19076,2,95624.17,2023-01-07,36,9.43,1412
91,8289,31298,1,84439.08,2023-04-14,12,9.06,1026
92,15974,5899,2,57296.51,2022-02-26,36,5.9,1022
93,13281,29463,2,7275.86,2022-03-25,48,6.56,1414
94,14355,33013,2,39593.29,2021-12-06,36,6.23,566
95,1431,23871,1,43542.59,2022-04-03,12,5.31,1130
96,12216,26715,4,78906.43,2022-03-18,12,7.81,1796
97,16336,13378,3,16584.85,2022-01-26,48,5.35,1846
98,6874,7929,1,68776.67,2022-06-27,60,7.78,1501
99,5880,38473,2,85606.16,2023-10-26,12,4.53,703
100,823,3821,3,22400.41,2022-02-13,12,8.94,402
101,11530,18458,3,5842.16,2024-02-25,36,5.22,730
102,9792,15306,2,4544.46,2022-03-09,12,4.66,1580
103,1535,1374,1,98528.0,2022-02-01,60,4.26,162
104,16368,38621,1,55882.09,2021-07-05,36,9.46,202
105,11452,32388,4,44885.12,2023-03-03,36,6.06,1982
106,14173,2607,1,15753.02,2023-11-12,12,4.43,996
107,7703,14278,2,24555.78,2024-03-07,60,5.73,270
108,479,32464,3,42913.42,2024-04-02,12,8.2,1887
109,17584,29178,1,6474.95,2022-06-07,24,5.75,816
110,12306,17639,3,44338.68,2020-11-24,12,6.17,1295
111,17231,21914,4,10031.31,2023-09-15,36,4.45,456
112,13316,26798,2,80798.0,2020-11-06,36,3.59,1486
113,9562,10187,1,91213.45,2022-10-02,60,9.67,1751
114,6903,21838,1,1772.16,2020-10-01,48,5.03,1276
115,14651,8693,4,1994.03,2022-05-18,36,4.16,1017
116,7293,1638,2,6274.68,2020-07-21,24,7.82,1726
117,8058,3194,1,18079.14,2023-05-18,36,5.5,296
118,10246,10924,1,85453.15,2021-10-09,36,7.12,1749
119,12471,11623,2,18593.45,2021-01-24,48,3.35,720
120,8670,4638,3,14196.57,2022-08-15,36,8.6,1773
121,12275,21139,2,11878.94,2021-12-09,24,6.0,338
122,10988,32330,2,83804.59,2023-07-16,24,8.45,879
123,5331,24728,2,13148.03,2021-06-02,24,9.53,1077
124,1262,21228,3,10389.97,2020-12-10,12,4.97,792
125,2610,26353,4,61479.19,2021-04-01,36,6.39,1946
126,6454,16958,2,96413.16,2021-05-06,60,5.26,217
127,16078,2038,1,35845.64,2021-01-26,36,7.72,764
128,3185,26488,4,82943.95,2022-01-23,12,3.65,188
129,15737,28335,4,84525.93,2021-05-02,60,9.0,380
130,9741,5759,1,33834.79,2022-04-16,36,8.57,493
131,14287,6748,1,85427.46,2020-07-16,12,5.23,1065
132,13421,32174,2,21892.39,2022-03-21,48,4.61,1181
133,16183,18213,2,20203.84,2021-12-26,36,5.72,15
134,38,20183,4,8988.83,2023-10-20,60,3.57,1837
135,17131,20596,1,98074.77,2022-11-08,12,9.33,65
136,9358,511,1,74881.64,2023-03-23,48,9.74,1881
137,1648,24859,1,73038.26,2021-09-12,12,5.47,1863
138,7141,7142,1,76616.03,2022-03-09,48,6.75,521
139,19830,14771,4,6705.96,2022-01-19,60,8.54,1368
140,802,31939,2,60424.31,2022-05-22,60,7.03,1153
141,5333,32152,1,89379.87,2022-01-08,48,8.23,648
142,268,30596,4,67278.94,2020-08-22,12,3.71,1496
143,9630,29166,4,25866.22,2023-08-12,24,5.64,1087
144,12553,33163,2,91905.6,2024-01-10,60,7.18,1163
145,13825,8297,1,68199.04,2022-11-21,60,7.8,1523
146,18075,20999,2,97418.21,2022-09-26,12,8.89,593
147,1942,25857,4,59710.8,2020-11-22,36,9.91,392
148,2640,17868,1,82215.36,2020-09-01,60,5.39,1699
149,163,25032,2,36220.49,2022-03-06,48,5.81,419
150,12544,5679,1,3413.56,2021-01-18,24,9.32,289
151,9077,3784,3,47823.02,2020-12-15,12,3.8,379
152,18090,11405,2,34610.01,2021-05-31,36,5.53,1797
153,19746,26743,2,17804.47,2022-06-16,60,4.49,1514
154,7207,12610,4,84374.49,2023-03-31,24,8.71,231
155,4490,16996,3,54441.43,2021-01-22,24,4.36,1018
156,14617,19028,4,16332.96,2022-05-26,60,7.96,41
157,13403,39621,3,93117.2,2022-06-01,48,5.72,1052
158,8060,25806,2,98970.13,2021-12-21,12,7.07,135
159,16903,12799,3,24797.97,2021-06-08,48,3.07,201
160,3901,14203,1,52560.63,2022-08-12,36,6.93,1864
161,708,34383,2,3781.81,2022-05-08,60,5.02,780
162,211,29532,1,89844.24,2021-10-08,36,8.18,930
163,14293,21704,1,33164.51,2022-11-29,12,3.78,1057
164,3900,18517,1,17615.71,2021-10-25,36,7.28,1072
165,15252,19820,1,94724.65,2023-05-28,12,5.73,503
166,9006,6463,1,57438.52,2023-08-23,36,4.61,407
167,16861,39461,1,44045.81,2023-10-11,24,6.01,1598
168,4125,38543,4,38538.1,2021-09-15,12,9.17,1752
169,12549,21939,4,48782.78,2021-12-07,24,7.5,805
170,7696,24937,2,85529.01,2023-11-12,48,8.14,99
171,14462,23885,4,96390.29,2024-01-18,12,7.95,684
172,16786,13356,1,56922.0,2021-01-30,36,3.15,1896
173,12901,1974,3,42243.99,2022-08-01,36,7.62,726
174,10681,34250,4,22847.56,2024-01-10,48,7.73,1571
175,1286,11273,2,28233.57,2022-12-15,12,8.03,961
176,16523,18377,4,88818.03,2023-07-12,48,6.14,1763
177,1536,35082,1,88007.51,2020-09-10,24,4.89,613
178,8474,15188,1,45627.98,2022-11-05,36,4.87,1967
179,101,36976,1,66142.08,2023-08-04,60,3.61,1486
180,16614,14653,1,20067.55,2024-04-15,48,4.11,643
181,704,23587,4,62730.56,2020-12-15,12,6.45,1793
182,4732,19144,2,34578.72,2022-12-11,60,9.89,1029
183,4209,6037,3,45647.54,2020-08-18,12,5.48,1242
184,14393,9430,1,25680.61,2024-03-31,24,3.87,503
185,16864,34288,4,36063.65,2022-06-11,60,9.32,767
186,2976,5138,4,52647.28,2023-06-03,48,8.96,398
187,12944,35134,4,91971.24,2022-11-22,24,7.21,871
188,5096,25805,2,88173.37,2021-06-22,12,8.34,795
189,18142,26305,4,98207.62,2024-01-23,48,6.94,393
190,7065,30111,2,13148.8,2021-05-29,60,7.68,207
191,2905,18692,1,4785.54,2021-06-21,60,5.71,1039
192,11970,31061,1,97901.93,2023-11-17,36,9.99,1882
193,3087,10469,2,71588.39,2022-02-04,60,4.58,1578
194,16163,10261,2,8954.71,2022-01-19,24,9.77,892
195,16828,19176,2,54822.9,2022-07-25,12,4.36,1485
196,4144,27604,4,35146.23,2020-10-28,48,3.07,1715
197,16519,6725,2,37243.95,2023-11-28,12,8.03,1599
198,407,20778,4,26371.64,2022-08-04,60,5.92,864
199,2856,19480,2,44564.17,2022-11-20,24,5.49,743
200,8943,20861,3,3206.28,2021-05-21,60,5.15,1265
201,13445,36345,3,70410.58,2023-02-26,60,3.38,564
202,952,37715,2,93509.92,2021-08-10,48,8.24,1021
203,1921,38603,3,94715.02,2023-02-05,60,6.92,96
204,13789,36076,1,72694.21,2020-11-17,12,4.78,1924
205,19571,4387,1,11703.7,2022-02-13,60,4.76,1758
206,736,18388,2,62489.43,2024-04-10,60,8.4,485
207,14594,16944,3,90490.07,2020-07-18,48,7.89,1431
208,4033,34283,3,9707.23,2023-11-19,48,9.46,231
209,7805,29302,1,90567.38,2024-01-03,48,3.73,749
210,10853,21491,1,52110.44,2023-02-19,48,7.97,1679
211,14661,24198,1,30385.02,2020-12-06,36,3.25,1195
212,12306,7081,1,19860.69,2022-11-22,48,7.89,541
213,10696,22602,3,72685.52,2021-01-26,36,7.75,1060
214,10687,9544,2,9990.63,2024-01-01,12,6.68,525
215,18080,10499,3,56371.4,2020-08-25,60,8.68,1184
216,16656,17478,1,33410.52,2022-05-28,36,6.95,1863
217,16073,17328,3,81726.07,2021-04-27,24,8.56,1723
218,1464,2441,4,26301.82,2023-02-07,12,5.25,1267
219,6960,39045,3,5368.1,2022-11-17,24,4.17,1110
220,2756,39685,2,4153.59,2023-07-10,60,4.16,1820
221,11338,16363,4,46721.31,2022-03-13,36,3.0,578
222,3111,18448,3,41494.08,2021-09-27,12,9.82,682
223,8596,24091,1,45816.04,2022-10-09,12,9.84,557
224,2197,17924,3,25472.09,2021-08-30,48,7.21,1598
225,11346,30399,1,51663.64,2021-08-27,24,9.75,1977
226,15976,25971,2,1519.26,2022-06-24,60,8.8,1013
227,12124,25231,3,79141.29,2020-12-08,60,3.94,646
228,1094,19583,3,17964.16,2022-02-13,24,6.67,796
229,1311,128,1,23708.51,2020-09-04,12,5.96,1052
230,9289,39692,4,21669.55,2024-01-03,24,7.42,1644
231,11161,15101,3,45486.25,2022-04-29,60,8.05,1580
232,5134,23666,3,89954.15,2024-05-01,12,3.14,1364
233,6557,39086,3,30933.57,2020-12-12,36,5.48,1822
234,2819,3386,3,40221.42,2023-07-16,60,4.1,1982
235,7419,24384,2,28864.03,2021-02-01,60,5.9,1355
236,9869,21457,3,4983.72,2021-12-09,48,5.25,1664
237,13045,10237,3,54046.31,2024-01-05,60,8.92,1530
238,17811,3722,1,44223.82,2022-02-01,60,5.08,1372
239,10887,15329,3,39691.3,2023-06-18,60,5.99,1497
240,11204,14340,1,13792.56,2023-12-03,48,8.01,1255
241,590,33494,4,61528.65,2022-07-14,12,3.51,190
242,18565,21202,1,86978.42,2020-10-01,60,9.59,1249
243,3525,26334,2,21691.27,2022-03-13,60,9.05,1409
244,6066,14022,3,91935.95,2022-04-13,60,9.51,1401
245,1784,9929,4,96111.72,2022-08-25,60,4.72,1307
246,9203,3890,2,84017.61,2023-07-14,48,6.36,1982
247,389,13845,2,2764.95,2023-01-05,48,9.09,633
248,1288,28562,3,50438.74,2021-10-26,12,5.15,628
249,3667,4975,3,61380.7,2022-03-03,12,4.99,973
250,4399,20080,3,17852.99,2021-04-02,24,7.4,1769
251,8504,31968,4,88178.5,2020-10-11,48,7.44,1283
252,8601,10969,4,5246.05,2021-04-04,48,5.22,1383
253,10492,21460,4,86481.42,2023-03-21,36,9.79,710
254,5547,38199,3,39924.32,2023-09-08,60,6.1,1480
255,900,20415,3,98477.81,2020-12-03,12,5.29,1435
256,11353,194,4,98903.99,2023-06-09,60,7.1,649
257,10720,8676,4,46709.46,2023-01-02,12,4.48,318
258,4337,27004,2,90028.17,2023-12-13,60,9.69,1701
259,9962,12181,3,56802.0,2021-12-30,36,5.98,1249
260,128,16793,1,79906.45,2022-03-14,36,9.72,1843
261,5208,28311,4,52929.73,2020-11-27,36,9.62,1258
262,9628,700,4,6842.72,2021-09-27,12,3.64,684
263,4423,19944,4,64559.52,2020-11-03,12,7.96,664
264,165,39269,3,14751.41,2024-04-27,12,3.72,1999
265,10344,5860,3,93758.4,2024-06-12,60,4.24,1851
266,19186,22735,2,14048.67,2024-02-03,12,9.03,1398
267,2959,955,3,11711.91,2022-01-24,48,9.31,1696
268,18716,7626,2,99648.31,2021-12-26,48,7.76,1632
269,2134,17516,1,1599.18,2023-07-04,60,4.62,1496
270,16422,7419,1,76216.93,2023-05-05,24,5.19,1257
271,8153,29615,1,25073.5,2022-09-08,36,5.09,1716
272,5648,38592,2,14694.87,2022-10-27,60,5.68,1137
273,9257,39987,3,78971.7,2020-08-29,60,4.86,1854
274,14425,26150,2,82130.55,2021-07-18,24,5.96,1521
275,7781,8112,3,15556.03,2022-01-23,48,5.46,442
276,12975,4885,2,20294.27,2024-03-25,36,4.39,564
277,3928,1133,4,30695.83,2024-05-30,24,6.15,1292
278,12359,13665,2,20998.88,2020-11-07,24,5.52,1534
279,5935,35300,4,56964.61,2022-05-09,24,6.27,1831
280,16071,2593,2,99371.03,2022-02-01,48,6.28,1410
281,10013,38786,4,14400.62,2022-09-11,24,3.41,1411
282,3991,12738,4,93057.94,2021-04-12,60,9.39,1137
283,7225,30538,4,74662.84,2023-01-08,24,6.55,1637
284,14053,4628,1,39711.12,2021-01-28,48,8.46,1649
285,14295,26911,2,80494.44,2023-11-07,12,3.01,952
286,8613,30368,3,53566.76,2024-01-29,60,7.57,1105
287,13186,12717,4,36042.28,2022-03-17,60,4.1,699
288,3941,9486,1,35198.64,2021-04-03,36,7.14,113
289,5595,3470,3,43088.3,2023-06-16,24,6.78,2
290,11241,14523,3,67752.46,2021-12-17,24,4.94,642
291,15476,11072,1,55996.55,2021-08-03,12,8.29,220
292,10685,31422,3,7117.08,2022-04-04,12,5.31,1590
293,13863,34568,3,53916.68,2021-07-26,60,6.08,855
294,10366,30851,4,40288.69,2022-11-09,48,5.65,1760
295,18725,34233,4,29638.03,2021-03-27,12,4.87,1249
296,19784,32784,4,21335.74,2022-08-27,48,9.44,385
297,15663,622,3,84788.06,2023-12-27,60,8.55,1427
298,7962,6043,2,72496.24,2024-06-19,36,9.52,1662
299,16692,27855,3,12885.76,2024-04-21,60,7.7,1154
300,19415,38103,1,58926.62,2021-12-16,24,6.97,1077
301,8254,16745,3,20923.12,2021-12-30,12,5.16,1708
302,14390,23188,1,67720.94,2021-02-27,60,4.8,730
303,5763,37349,4,7673.26,2023-09-14,24,8.6,1696
304,8926,10394,3,71729.16,2021-05-12,36,5.48,1734
305,11093,16978,1,3288.73,2024-01-27,36,7.59,1440
306,11118,12821,4,71468.24,2022-02-11,24,3.75,247
307,5821,34303,4,25011.0,2021-02-25,12,3.22,836
308,9679,33574,3,93334.06,2021-02-13,24,9.61,1463
309,13832,36069,3,38231.64,2020-11-29,48,7.21,203
310,9457,35182,1,71812.44,2021-01-23,12,3.67,1208
311,1043,18812,1,49233.53,2020-09-16,36,3.05,123
312,9461,4528,4,38045.7,2023-02-04,48,4.71,401
313,19927,36795,3,70429.6,2021-08-06,12,5.69,767
314,1629,15900,4,10643.69,2022-06-06,36,3.34,294
315,5733,27836,3,49013.54,2021-09-21,24,6.78,280
316,3956,11149,3,92744.42,2022-07-02,36,5.35,1861
317,4534,21366,3,25163.46,2023-01-18,48,5.01,884
318,14893,33801,4,13017.01,2021-05-27,60,4.12,1634
319,12985,36605,3,34415.19,2023-08-14,24,8.15,198
320,7862,39393,4,11185.36,2021-04-30,48,9.06,982
321,1787,21496,1,14290.19,2022-11-24,36,7.83,1931
322,10913,2494,2,70456.8,2024-03-05,60,7.62,1535
323,12281,33695,1,10404.58,2021-10-10,24,4.06,752
324,4168,32111,1,61606.09,2023-04-13,12,5.16,144
325,811,2141,4,68871.32,2022-09-18,12,3.13,609
326,15284,30428,2,70783.32,2020-07-16,12,4.58,1225
327,19943,8933,1,29887.35,2020-11-11,12,9.01,1148
328,3997,27739,2,39746.39,2024-01-20,60,4.92,187
329,19455,34871,1,77435.04,2022-12-10,48,7.6,1350
330,8596,2830,1,83132.63,2021-08-30,60,9.2,464
331,18868,1345,1,77972.2,2023-09-01,24,6.11,1373
332,3133,29828,2,30947.36,2024-06-03,36,8.14,1795
333,942,37622,1,84169.87,2021-09-26,12,9.58,660
334,13554,28521,2,9294.48,2023-05-20,24,8.29,764
335,335,22447,1,8813.63,2023-09-24,24,6.77,955
336,13686,16268,2,73430.56,2024-04-18,48,5.98,1956
337,2188,31502,3,25577.64,2020-11-26,36,7.03,403
338,16972,35206,4,11468.51,2022-09-01,12,4.25,1370
339,10208,29911,2,90891.9,2021-12-24,60,3.45,1987
340,12758,13568,3,56128.71,2022-05-21,12,4.75,1535
341,7484,1248,4,82442.13,2021-01-01,36,5.68,147
342,2376,16888,3,48301.21,2022-05-21,24,3.01,1172
343,18607,38561,1,83289.51,2020-10-15,60,9.28,864
344,7219,32937,3,88239.88,2021-01-21,36,9.83,1735
345,6767,13087,3,79753.94,2022-10-02,24,3.36,1844
346,4419,2051,4,43690.88,2021-02-05,60,4.92,489
347,1928,11168,2,55673.2,2023-07-10,36,3.86,929
348,16588,37043,4,58021.22,2024-04-21,36,4.7,1960
349,16461,12848,4,64850.94,2024-04-23,60,7.39,1664
350,7168,23235,2,59807.33,2023-05-23,60,3.0,551
351,6691,24722,1,98630.81,2020-09-22,12,9.21,338
352,11675,31307,4,56024.66,2021-02-21,60,5.77,872
353,17783,20010,2,64131.21,2022-10-10,12,7.12,641
354,16775,5778,4,8967.01,2023-02-10,48,8.49,1803
355,10276,23733,1,60724.34,2022-09-06,36,3.99,1977
356,14972,9735,4,54792.56,2020-12-29,24,6.22,473
357,9919,10181,2,74349.26,2022-04-04,36,6.2,1970
358,4084,30192,4,75243.57,2021-07-01,36,7.1,151
359,10672,35057,3,11802.66,2020-12-02,48,6.77,1439
360,12831,24984,3,95478.82,2024-06-03,12,5.98,1322
361,15012,32845,4,21554.12,2023-06-23,24,7.22,1635
362,1673,27770,2,32011.33,2023-11-29,48,3.37,263
363,17599,38088,2,98524.31,2022-10-23,60,3.14,1788
364,19765,28773,1,25624.57,2023-08-22,36,4.03,144
365,19508,39067,3,9496.67,2021-05-15,60,7.28,346
366,11122,14487,3,37598.49,2023-12-01,24,4.42,624
367,7727,8642,2,74562.56,2022-10-03,60,6.29,1017
368,10164,2005,2,68021.94,2022-09-08,12,8.66,1596
369,1813,7919,4,49477.42,2020-07-05,36,9.38,881
370,16801,37958,2,65272.06,2023-09-08,24,8.33,2
371,1485,21750,4,82327.68,2024-06-10,60,7.72,897
372,19030,24821,4,57733.51,2021-06-12,12,6.96,1328
373,17777,35834,3,62103.69,2024-01-19,48,7.32,254
374,7896,37086,2,90526.5,2023-02-03,24,7.84,1676
375,7087,34884,2,75961.6,2021-04-21,36,5.65,453
376,14339,25601,2,83044.82,2023-06-17,36,3.68,1061
377,7129,23031,1,31661.42,2022-09-11,36,6.09,1184
378,11703,29187,3,99266.84,2024-04-13,60,9.45,1015
379,15254,37364,3,3687.15,2024-04-28,24,7.5,9
380,2634,9895,4,7885.21,2022-08-19,48,8.99,1257
381,7500,11977,2,12304.83,2023-07-14,48,9.27,1123
382,11960,24069,1,59547.2,2022-12-18,36,4.0,1683
383,1772,3722,1,91924.54,2022-11-02,36,8.74,816
384,14383,20154,2,15468.78,2020-11-16,48,6.07,208
385,120,2022,1,90419.17,2022-03-21,24,8.67,1155
386,6786,30696,1,64105.04,2024-04-29,36,8.66,404
387,6750,38533,3,25039.04,2020-07-22,36,3.09,152
388,14631,38018,3,91212.07,2021-01-04,48,4.3,54
389,12919,18445,2,52486.52,2023-05-04,12,9.32,1144
390,10792,6315,1,1267.89,2021-11-19,36,6.27,1697
391,16610,4979,3,93626.66,2020-11-03,12,8.12,1944
392,14542,35319,1,68040.88,2022-12-05,24,7.59,628
393,9694,8229,3,6686.1,2021-10-05,12,7.25,587
394,18567,23902,2,30954.06,2023-07-10,12,6.44,1649
395,505,28782,3,69182.0,2020-09-06,36,3.89,1992
396,129,28386,1,47345.37,2022-08-24,12,9.43,1444
397,2960,25585,2,8484.55,2021-04-22,12,3.51,1446
398,4205,11974,2,48699.6,2023-12-23,36,7.61,104
399,19508,9522,4,60252.43,2023-10-15,60,7.6,1876
400,11100,2215,2,63232.1,2022-01-02,36,3.66,254
401,12609,5646,2,65382.92,2020-07-29,24,8.05,1251
402,3280,6018,3,79294.17,2022-04-04,36,8.65,1136
403,14294,26120,1,63488.94,2020-09-12,48,9.89,510
404,15635,32456,1,84934.29,2023-10-14,24,3.16,1497
405,11134,25452,4,84004.56,2024-01-17,60,6.43,99
406,19561,8426,1,66972.58,2024-05-13,36,6.42,153
407,6799,38506,3,14980.57,2021-10-26,48,3.29,1885
408,9136,39879,3,19411.36,2022-03-15,60,7.6,914
409,7295,21427,3,81119.72,2023-12-11,36,4.54,1920
410,4375,26446,1,40432.57,2021-12-09,12,9.08,878
411,18412,8617,1,46463.08,2021-12-24,12,3.49,338
412,18851,146,3,18223.22,2024-05-30,36,9.16,1730
413,7869,12964,3,6867.05,2022-08-07,12,9.23,822
414,3304,15067,2,73230.33,2021-05-25,24,8.98,1187
415,4225,13722,2,85036.78,2020-12-02,24,7.66,1744
416,10370,34906,3,19720.26,2023-01-19,24,4.79,957
417,18022,6885,2,62430.3,2022-12-31,24,7.91,1705
418,10369,34617,1,98073.44,2021-06-15,36,9.56,161
419,19276,6232,3,41354.02,2021-08-19,60,4.21,1604
420,17676,28457,2,32145.12,2021-03-24,36,8.52,801
421,7023,27848,4,23883.63,2020-07-13,48,8.54,398
422,13953,14314,3,65741.58,2023-06-20,12,8.64,1301
423,17728,8374,4,1266.39,2022-07-15,36,4.87,816
424,4451,9462,3,32275.25,2024-04-09,60,4.41,1940
425,2993,37627,2,36058.98,2023-06-22,36,8.84,1528
426,19654,35396,3,13375.14,2021-03-20,24,4.01,1920
427,18141,32126,4,6453.96,2022-08-05,36,3.16,1416
428,14368,24078,2,36172.51,2023-05-09,12,5.4,1159
429,1895,34369,3,74152.72,2022-06-02,12,5.9,1219
430,9489,6523,1,61896.69,2020-10-04,24,4.84,401
431,4372,11954,1,59167.99,2024-04-17,48,8.46,640
432,1977,2680,4,85441.9,2022-10-26,36,8.46,1057
433,13012,13892,4,59602.76,2023-01-20,24,7.43,688
434,3772,8949,2,36416.02,2022-11-12,36,6.87,460
435,9918,18990,4,5826.99,2023-05-23,24,3.51,955
436,13499,24316,3,71914.37,2022-08-28,60,9.51,1907
437,385,2103,2,55946.39,2021-07-21,60,6.94,470
438,11963,36085,3,22496.8,2023-02-28,12,8.85,1399
439,13270,30891,2,24305.98,2023-09-09,24,9.02,1046
440,18735,23585,2,44425.95,2022-02-23,36,4.68,750
441,11696,20772,1,62996.31,2023-11-04,12,6.56,1694
442,18218,21954,2,48927.28,2023-02-01,24,3.38,38
443,16688,11559,3,94464.33,2021-01-13,48,6.84,230
444,4153,18795,3,68396.55,2021-07-24,48,3.65,1389
445,22,1948,4,42950.93,2022-05-28,60,7.4,563
446,5208,37432,4,93326.57,2021-03-07,48,4.41,438
447,5911,25614,1,93169.67,2021-05-03,60,9.65,1800
448,12347,3350,3,74999.09,2024-06-16,48,8.01,1307
449,15232,17885,2,49848.88,2022-12-10,24,4.98,27
450,17819,2290,2,33858.32,2020-10-28,36,9.93,226
451,10415,37981,3,3066.31,2024-05-23,36,5.7,1301
452,9841,20318,1,76611.64,2023-03-04,12,3.11,798
453,13797,16839,3,87131.1,2023-04-23,60,8.65,1633
454,2574,30367,3,94089.6,2022-07-01,60,5.96,284
455,2188,9822,4,71919.59,2022-06-23,60,9.62,879
456,10873,39034,1,51868.38,2022-09-11,36,6.24,960
