payment_id,loan_id,payment_date,amount,status,interest_amount
113,3859,2022-08-28,1040.34,late,93.67
114,5049,2025-05-16,1117.11,late,82.73
115,617,2023-02-15,721.61,on-time,67.01
116,9423,2023-07-02,1366.98,late,88.43
117,12881,2022-09-02,1717.19,late,82.33
118,543,2024-12-29,467.32,on-time,26.79
119,11260,2025-06-08,158.39,missed,90.33
120,10471,2024-07-22,850.15,missed,58.54
121,8224,2022-12-20,793.63,on-time,82.67
122,936,2022-01-08,720.84,late,90.65
123,9081,2022-05-31,760.87,on-time,38.62
124,3188,2023-01-29,175.77,missed,19.9
125,11347,2023-07-03,1414.71,on-time,30.51
126,6681,2024-05-17,1355.2,missed,48.44
127,12071,2023-05-02,757.76,missed,83.62
128,8034,2024-05-22,293.87,late,87.47
129,9871,2021-08-24,640.34,on-time,10.63
130,3731,2022-02-19,443.46,late,55.97
131,10902,2021-08-12,629.42,on-time,47.57
132,4626,2025-05-10,1243.46,on-time,29.99
133,2748,2022-08-03,580.57,late,20.79
134,10781,2024-11-25,1440.22,missed,40.39
135,658,2022-10-25,1360.11,on-time,94.86
136,14170,2022-09-23,1362.48,late,39.09
137,12296,2022-11-12,843.12,on-time,56.69
138,13787,2025-04-19,1791.29,on-time,73.27
139,3939,2021-09-05,1939.83,on-time,42.73
140,12978,2022-09-14,1527.66,missed,97.46
141,4243,2024-03-31,1533.83,missed,96.62
142,11830,2023-01-23,714.68,late,32.66
143,909,2024-11-22,1701.14,on-time,54.75
144,13972,2022-06-16,950.45,late,37.08
145,13804,2025-02-16,1139.75,on-time,35.64
146,13019,2022-07-02,483.74,on-time,13.32
147,11439,2023-03-05,330.35,on-time,64.86
148,9879,2021-10-26,1693.79,on-time,55.24
149,3177,2023-10-26,1920.83,missed,14.63
150,5880,2021-10-28,943.1,on-time,35.08
151,13838,2021-07-30,264.82,late,91.74
152,9221,2022-09-23,700.14,late,31.56
153,13137,2025-01-04,1190.55,on-time,23.04
154,4654,2023-09-10,1616.37,on-time,54.05
155,4485,2022-11-18,859.9,missed,98.71
156,7381,2023-08-25,553.12,late,31.78
157,4308,2021-12-27,1750.35,on-time,70.49
158,28,2024-10-11,752.2,late,78.55
159,13982,2022-12-27,193.58,missed,31.39
160,12797,2022-05-24,176.78,late,75.54
161,12501,2021-10-31,1057.52,on-time,43.1
162,13344,2024-05-03,983.98,missed,66.91
163,1012,2024-12-27,310.45,late,67.02
164,14554,2023-10-07,339.32,missed,58.22
165,7850,2022-03-02,450.29,missed,18.13
166,12725,2024-07-23,1882.68,late,85.18
167,1386,2024-07-01,1087.58,on-time,38.87
168,8149,2024-04-14,197.89,missed,26.79
169,10714,2021-10-16,585.75,missed,13.67
170,11843,2022-03-06,1407.89,late,63.18
171,6685,2024-11-09,1324.19,missed,70.98
172,1746,2022-09-03,169.94,missed,11.49
173,4859,2023-04-12,1635.5,late,56.09
174,3037,2025-05-16,364.68,missed,30.38
175,5965,2022-02-02,1303.16,on-time,68.07
176,124,2022-12-06,601.05,on-time,25.69
177,14365,2023-03-02,272.86,missed,72.18
178,5359,2022-08-17,935.47,late,44.81
179,1789,2022-04-19,143.13,missed,94.31
180,11844,2022-12-09,1510.79,missed,22.38
181,12999,2022-08-04,1647.31,on-time,40.7
182,4657,2025-04-26,547.02,on-time,20.21
183,13050,2024-01-21,1931.61,on-time,93.22
184,5138,2022-11-15,1432.6,late,88.96
185,5728,2022-06-05,1914.95,on-time,33.21
186,5312,2022-12-30,104.93,missed,69.4
187,243,2022-08-20,1439.14,missed,83.55
188,9020,2023-10-18,1720.38,on-time,59.97
189,2774,2023-11-05,538.28,late,57.67
190,5310,2022-11-01,1866.61,on-time,31.77
191,201,2022-02-13,392.3,missed,18.38
192,13871,2024-02-04,398.51,missed,90.75
193,13984,2021-08-01,1748.47,missed,91.04
194,14169,2024-09-19,791.4,missed,66.98
195,8827,2022-04-17,765.22,late,40.51
196,2819,2022-04-01,254.08,missed,41.43
197,13629,2024-10-18,824.89,on-time,75.34
198,6755,2022-04-02,1838.14,late,90.74
199,7211,2022-02-11,1928.59,missed,89.84
200,7507,2021-08-11,423.02,late,80.19
201,5370,2021-07-14,820.73,late,67.78
202,12707,2024-09-19,202.14,late,17.57
203,3991,2023-07-13,1590.21,missed,24.55
204,1610,2024-08-22,917.6,late,90.87
205,3849,2021-08-23,1949.21,missed,64.58
206,10364,2022-02-05,1383.04,missed,10.83
207,3403,2022-07-17,1146.96,late,19.13
208,11228,2021-09-25,1172.11,late,69.72
209,4173,2024-05-02,1284.33,on-time,10.46
210,9415,2025-03-02,1502.96,on-time,24.47
211,6942,2023-10-06,1282.65,missed,59.39
212,6202,2025-01-27,1913.99,on-time,72.27
213,11586,2024-11-14,1554.3,missed,68.68
214,14493,2025-05-27,1882.91,missed,30.18
215,14604,2024-08-13,689.17,late,74.1
216,457,2023-08-19,1672.43,missed,31.35
217,9641,2023-06-06,1111.56,on-time,39.29
218,2767,2024-03-07,754.22,missed,77.18
219,11535,2022-01-01,1218.58,on-time,68.47
220,10638,2024-02-22,146.58,late,86.43
221,1662,2021-09-15,1002.15,missed,69.19
222,8567,2022-09-17,498.57,on-time,61.15
223,4341,2023-11-08,1187.16,missed,18.43
224,7864,2025-06-10,405.2,missed,43.09
225,9448,2023-12-10,587.42,late,33.87
226,7356,2025-02-01,1352.9,missed,31.96
227,8304,2023-11-11,1132.61,missed,97.57
228,14316,2021-11-15,663.01,missed,45.38
229,7124,2024-12-10,1052.03,missed,90.28
230,1512,2025-02-08,544.08,missed,66.8
231,967,2024-10-18,449.89,on-time,81.53
232,591,2022-08-06,1230.64,on-time,55.24
233,3514,2023-10-09,1357.68,late,61.92
234,13129,2022-11-13,1615.24,on-time,54.33
235,14541,2022-07-29,912.94,late,27.57
236,11302,2023-10-18,1540.23,on-time,75.02
237,7733,2022-03-24,1755.48,late,35.27
238,9154,2023-06-21,851.72,missed,12.19
239,7544,2025-06-20,519.26,missed,68.09
240,9858,2024-09-30,762.31,on-time,25.94
241,1432,2024-10-04,533.62,late,94.64
242,5330,2024-09-12,1040.39,on-time,95.85
243,1329,2023-07-24,1229.07,on-time,92.34
244,7890,2024-03-18,263.07,on-time,43.31
245,13606,2023-02-22,1931.48,missed,11.39
246,2760,2023-10-06,754.53,on-time,93.55
247,11224,2024-02-18,434.05,on-time,48.54
248,10581,2022-12-03,1664.77,on-time,97.0
249,4167,2024-03-05,1365.67,missed,96.73
250,1588,2025-01-27,1952.98,on-time,86.77
251,5202,2022-07-26,567.69,on-time,36.5
252,125,2025-05-12,789.28,missed,44.66
253,10334,2023-09-27,1241.0,on-time,86.6
254,2646,2022-07-08,1133.71,missed,38.52
255,8214,2023-10-20,256.24,missed,25.25
256,14544,2023-08-27,734.26,missed,60.11
257,2101,2021-08-12,651.21,on-time,94.25
258,13789,2021-10-07,1395.88,on-time,72.64
259,2610,2024-01-04,1142.18,on-time,61.31
260,5043,2023-05-27,725.99,on-time,18.75
261,6707,2021-09-29,1577.68,on-time,65.35
262,1603,2021-12-09,1930.87,missed,99.1
263,9690,2022-04-23,1572.29,late,22.61
264,12579,2022-01-11,1750.84,late,56.65
265,14748,2021-11-17,338.23,missed,88.96
266,13616,2023-12-16,399.21,on-time,76.67
267,12873,2022-07-24,521.65,missed,72.73
268,1928,2023-05-26,723.52,on-time,73.22
269,3183,2023-03-05,1042.05,missed,42.35
270,8246,2021-11-05,707.63,missed,36.42
271,12928,2024-11-15,1084.17,missed,82.84
272,1487,2023-05-09,1393.71,missed,82.91
273,11906,2024-02-29,1717.03,missed,88.04
274,1138,2021-09-10,604.44,on-time,92.19
275,8834,2023-07-01,1435.35,missed,56.02
276,4346,2023-08-19,106.26,late,55.14
277,12164,2023-07-26,320.68,late,81.85
278,9939,2023-07-11,505.86,on-time,68.5
279,241,2021-07-31,1819.69,missed,73.18
280,6905,2023-02-09,105.7,late,81.62
281,13816,2024-09-19,757.75,late,90.1
282,6813,2021-10-08,1027.09,late,40.42
283,2884,2023-03-04,822.33,missed,43.8
284,14506,2023-06-06,1007.1,missed,18.46
285,10610,2023-10-03,1097.48,missed,62.05
286,12471,2023-03-20,720.7,on-time,13.23
287,14613,2024-10-08,293.87,missed,51.9
288,8485,2021-07-12,1425.51,on-time,58.84
289,3473,2022-04-24,1958.17,missed,35.79
290,11447,2023-12-05,1262.77,missed,63.17
291,14199,2022-01-14,1424.63,missed,12.75
292,6919,2024-11-08,783.52,on-time,13.36
293,5378,2022-08-12,615.54,late,84.03
294,7476,2025-06-08,771.84,late,42.42
295,11805,2023-01-20,1590.37,on-time,21.44
296,2009,2022-11-28,961.38,late,57.0
297,9942,2023-04-16,1318.16,on-time,79.3
298,2849,2025-07-01,533.08,on-time,29.42
299,9809,2023-06-11,894.08,missed,66.06
300,14460,2022-04-21,1727.88,missed,17.68
301,10980,2024-09-07,1376.96,on-time,14.65
302,5564,2023-06-15,1441.07,late,57.82
303,5421,2022-11-12,174.64,missed,58.66
304,10567,2023-09-23,918.49,on-time,67.37
305,6934,2025-04-01,1642.76,missed,75.35
306,11340,2025-06-24,1968.15,late,97.83
307,1810,2024-01-29,1709.2,on-time,56.47
308,8920,2024-11-27,1885.92,missed,39.07
309,10068,2022-05-30,1471.1,missed,81.57
310,3035,2022-08-20,1911.23,missed,34.37
311,5212,2022-08-18,1736.99,on-time,49.51
312,4122,2025-04-03,988.8,on-time,17.06
313,4201,2024-07-19,694.58,late,12.28
314,378,2024-09-01,1533.99,late,96.64
315,12295,2021-12-07,1137.11,missed,85.24
316,9575,2025-05-31,949.2,on-time,72.64
317,12934,2023-02-26,490.72,late,46.81
318,5801,2024-12-21,693.97,missed,25.6
319,4544,2022-06-04,348.38,late,24.08
320,371,2022-04-01,116.49,on-time,32.52
321,11819,2024-11-03,105.53,on-time,59.43
322,13542,2021-10-30,703.42,on-time,74.31
323,8313,2025-05-22,1760.85,on-time,69.42
324,7359,2023-06-01,121.59,on-time,35.19
325,6536,2022-08-19,679.18,missed,95.94
326,3331,2024-08-17,464.53,missed,76.41
327,8000,2021-07-14,613.17,on-time,59.89
328,13,2022-06-25,1808.9,missed,65.05
329,8580,2025-04-07,802.76,missed,47.76
330,12042,2024-09-16,1676.66,late,32.3
331,5968,2025-04-12,1604.82,late,42.04
332,5388,2023-12-14,1201.08,missed,78.21
333,10515,2024-11-30,182.19,missed,11.3
334,489,2025-03-24,953.26,missed,20.45
335,5514,2023-09-04,1906.38,late,14.14
336,5244,2022-01-12,1321.97,missed,13.67
337,5675,2022-02-23,1068.58,missed,86.99
338,5470,2023-09-20,1824.55,missed,73.33
339,11877,2023-06-13,1343.48,missed,52.68
340,13484,2021-07-10,487.62,missed,18.81
341,14004,2024-10-06,486.78,on-time,54.25
342,13383,2022-06-15,335.75,on-time,52.61
343,8858,2022-09-26,1888.38,missed,25.59
344,5263,2022-01-30,1936.12,late,49.05
345,1619,2025-02-01,1261.44,missed,45.87
346,8337,2024-04-19,1544.32,late,65.43
347,3406,2021-07-22,1509.22,late,67.16
348,4215,2023-10-21,1343.59,missed,14.08
349,13262,2025-02-13,1095.7,on-time,43.72
350,2875,2024-10-27,455.26,late,66.33
351,7336,2025-01-26,563.9,late,55.28
352,11771,2024-11-06,1435.74,on-time,87.08
353,4314,2021-08-31,1240.42,on-time,69.28
354,5999,2023-06-30,886.6,late,24.66
355,10500,2022-02-13,605.05,missed,16.35
356,13397,2023-03-03,722.57,on-time,67.82
357,2549,2022-06-16,1645.81,missed,12.39
358,11756,2025-05-07,1438.34,late,62.72
359,11029,2023-02-02,821.75,on-time,94.62
360,11011,2025-02-11,1616.67,on-time,61.79
361,337,2022-11-10,1032.52,late,44.94
362,4913,2021-10-16,196.95,missed,67.9
363,6681,2023-01-20,948.35,missed,51.24
364,9658,2023-12-21,1279.43,on-time,59.11
365,9658,2022-02-26,373.18,missed,94.73
366,13756,2025-03-03,1281.78,late,44.75
367,13535,2024-08-29,879.29,missed,96.51
368,8336,2024-05-29,1111.27,on-time,91.48
369,2261,2022-08-20,755.64,late,27.62
370,3272,2025-05-13,255.7,missed,16.24
371,9112,2024-02-15,736.01,late,19.07
372,9119,2022-10-23,988.12,late,11.64
373,9926,2025-04-19,597.38,late,18.5
374,14362,2023-12-22,532.32,missed,71.47
375,4263,2022-11-19,1730.17,late,16.41
376,5782,2024-12-27,389.42,on-time,38.71
377,9048,2022-07-03,786.55,on-time,86.04
378,6636,2021-12-26,785.95,on-time,12.09
379,11116,2022-01-28,316.67,on-time,83.3
380,9345,2023-01-01,1874.46,late,35.37
381,9075,2022-02-19,183.73,on-time,20.63
382,12871,2022-11-06,976.31,missed,72.71
383,1657,2023-07-29,547.05,on-time,66.6
384,13546,2024-08-22,1796.51,on-time,88.97
385,4483,2024-04-07,371.64,missed,76.16
386,8496,2024-12-30,983.67,on-time,82.31
387,4760,2023-11-15,482.92,late,35.38
388,7522,2025-05-14,1332.75,missed,25.97
389,11119,2023-09-15,1559.51,on-time,77.56
390,14678,2022-04-03,337.69,on-time,82.62
391,8691,2021-08-18,1107.64,missed,99.15
392,7644,2024-01-22,676.88,on-time,47.14
393,2200,2021-11-29,550.14,late,43.48
394,4299,2021-11-01,1526.87,missed,79.88
395,7537,2024-09-04,1263.06,late,40.67
396,2200,2022-01-10,262.34,missed,93.77
397,2654,2022-06-05,167.9,on-time,87.26
398,6984,2022-09-29,849.64,late,48.61
399,2372,2024-04-13,320.61,on-time,77.58
400,9328,2023-05-06,174.16,late,77.91
401,7939,2022-06-04,411.71,late,19.28
402,8814,2023-05-05,1631.9,missed,91.23
403,2747,2024-05-16,1825.72,on-time,55.47
404,2935,2024-05-01,958.93,late,84.38
405,5223,2021-12-03,814.85,late,38.8
406,10566,2025-03-11,470.61,late,90.6
407,4075,2024-04-19,1228.32,on-time,45.03
408,722,2024-06-28,1851.2,missed,10.98
409,12180,2024-06-20,1563.6,on-time,91.48
410,7401,2023-04-04,500.94,on-time,18.22
411,10042,2022-07-16,1698.02,late,38.74
412,12997,2021-09-19,1372.4,missed,95.51
413,14440,2021-09-09,1583.23,on-time,95.55
414,4019,2021-11-04,905.57,late,61.61
415,427,2023-01-19,1770.3,on-time,66.87
416,11238,2022-01-19,456.26,late,50.36
417,4342,2021-09-14,869.68,missed,36.39
418,8308,2022-03-12,290.41,late,39.58
419,6496,2025-03-19,235.23,missed,70.53
420,3801,2024-10-30,713.03,on-time,77.71
421,5942,2022-11-10,1870.79,missed,81.24
422,11143,2023-01-26,1843.65,missed,81.07
423,14220,2025-05-20,416.46,missed,18.21
424,11659,2022-12-05,1467.65,missed,54.5
425,5079,2022-11-29,1338.15,missed,15.18
426,9440,2021-08-03,552.59,late,59.46
427,4989,2022-11-21,735.97,on-time,49.74
428,12972,2021-07-06,1216.17,late,89.89
429,8374,2023-02-20,1937.13,missed,41.58
430,847,2022-07-14,1010.2,missed,20.54
431,1506,2024-01-05,847.49,on-time,22.87
432,10536,2024-11-15,1860.44,missed,78.54
433,14864,2024-09-25,1630.96,on-time,65.64
434,11677,2022-02-23,1195.51,missed,19.1
435,6317,2021-10-26,1340.62,late,17.57
436,13698,2022-06-18,425.38,missed,73.09
437,9429,2023-11-18,660.59,on-time,16.55
438,14219,2023-07-23,1413.98,on-time,83.97
439,5646,2021-09-25,1409.49,on-time,73.56
440,11265,2023-12-26,1199.26,late,17.32
441,2079,2021-12-24,579.22,late,17.64
442,13202,2021-07-29,456.04,on-time,98.8
443,1367,2023-10-25,226.89,late,43.68
444,1644,2025-06-12,841.91,missed,43.36
445,4344,2022-08-07,1953.6,late,83.15
446,9175,2022-09-16,1049.5,missed,95.25
447,4946,2021-12-14,1730.86,on-time,98.74
448,8848,2022-11-24,576.0,late,77.8
449,11354,2023-02-21,1004.7,late,43.86
450,6794,2022-01-14,124.46,on-time,17.52
451,1009,2022-10-10,1236.92,on-time,79.94
452,14459,2025-04-28,130.72,late,60.26
453,1576,2023-03-29,962.58,on-time,48.18
454,9508,2024-05-11,1346.51,late,91.57
455,12728,2023-03-27,1375.55,late,20.01
456,8617,2021-07-13,380.02,missed,54.34
457,1149,2024-07-12,391.13,missed,11.02
458,430,2021-08-23,1128.89,on-time,52.18
459,7512,2022-08-28,611.69,on-time,15.07
460,63,2022-02-05,532.75,late,20.69
461,3124,2022-01-10,509.89,late,20.58
462,8943,2024-09-11,893.6,late,68.43
463,2158,2024-07-29,1511.32,missed,77.14
464,4703,2023-09-16,573.63,missed,62.5
465,9159,2022-10-08,169.52,missed,96.6
466,5647,2021-12-05,1089.19,on-time,43.74
467,9894,2024-05-14,1645.82,on-time,35.71
468,134,2023-05-06,426.16,on-time,88.17
469,9744,2023-12-25,561.87,on-time,30.12
470,13602,2025-01-13,1355.37,on-time,96.69
471,2048,2023-08-08,1401.12,on-time,11.09
472,10805,2025-04-05,208.95,late,97.29
473,13698,2024-08-09,726.02,missed,13.88
474,10993,2023-03-17,1082.69,on-time,90.2
475,10256,2021-10-15,1471.81,late,57.49
476,7797,2022-12-24,170.09,missed,99.37
477,8903,2022-02-27,735.83,late,16.64
478,5737,2024-04-21,780.34,late,59.85
479,10079,2022-03-02,421.11,late,97.24
480,4143,2021-07-14,738.27,missed,57.08
481,793,2022-01-07,726.38,late,66.65
482,14715,2021-09-09,1291.44,on-time,72.62
483,1106,2024-12-02,965.35,missed,50.91
484,3956,2025-01-27,1199.07,late,66.48
485,3301,2022-03-07,125.43,late,62.59
486,10427,2025-04-03,129.46,on-time,91.1
487,12633,2021-09-17,1868.54,on-time,14.09
488,8304,2021-10-25,1517.24,missed,35.29
489,12539,2025-01-20,507.7,late,95.54
490,729,2024-08-22,1487.89,missed,90.12
491,12753,2025-04-22,222.66,missed,51.01
492,37,2022-02-04,153.64,late,65.81
493,1621,2025-04-28,897.3,missed,34.96
494,2248,2025-05-14,751.88,missed,26.93
495,4568,2024-08-19,938.79,late,51.73
496,6559,2022-02-15,1815.0,missed,41.8
497,8275,2022-11-16,885.43,late,62.53
498,8098,2022-12-04,1110.21,missed,17.0
499,498,2024-12-30,599.32,missed,97.7
500,3178,2022-02-07,1606.97,on-time,98.76
501,13687,2024-07-12,291.29,on-time,72.83
502,14722,2025-02-08,247.86,missed,58.25
503,13937,2025-06-30,380.4,missed,37.86
504,10309,2021-10-10,588.8,late,83.24
505,10854,2022-08-18,1819.39,late,71.63
506,7882,2021-08-13,631.56,on-time,24.64
507,3691,2022-09-21,418.01,late,91.98
508,13713,2024-12-30,1681.76,late,84.03
509,1431,2022-02-26,1384.27,missed,95.48
510,13456,2022-04-28,293.24,missed,75.31
511,620,2023-05-15,1693.33,missed,65.21
512,3367,2022-06-01,1286.37,missed,47.64
513,5215,2021-10-22,1677.56,on-time,93.95
514,6122,2023-09-26,269.63,on-time,87.95
515,13144,2021-08-20,1283.81,on-time,14.07
516,9664,2022-12-26,536.73,on-time,12.37
517,7608,2024-02-03,1732.24,missed,43.88
518,1532,2022-09-13,125.45,missed,82.95
519,4712,2022-10-22,1828.1,on-time,98.85
520,7691,2023-07-30,893.68,missed,23.54
521,12964,2022-11-26,1226.51,late,63.47
522,1687,2024-09-13,1273.85,missed,44.28
523,1156,2022-07-10,144.15,missed,97.29
524,10366,2023-07-11,1923.27,on-time,85.79
525,12522,2022-05-15,1405.61,on-time,85.45
526,13018,2023-03-09,1641.17,late,52.18
527,8441,2024-02-19,1802.53,on-time,47.33
528,11324,2023-07-23,853.84,late,34.61
529,4303,2025-05-09,1162.61,on-time,15.07
530,1932,2022-12-29,1961.8,late,87.83
531,12182,2025-02-01,1946.91,missed,83.16
532,637,2024-11-27,1085.73,late,99.97
533,10039,2022-06-26,385.69,on-time,99.7
534,14044,2023-07-24,1954.43,missed,59.99
535,5746,2023-03-28,1052.96,late,79.21
536,607,2023-03-05,1244.54,late,95.03
537,7812,2022-12-13,1709.83,missed,86.47
538,2343,2024-03-07,726.52,late,32.26
539,9744,2021-12-12,755.74,on-time,50.55
540,7545,2023-12-30,1922.02,missed,21.62
541,2058,2023-11-13,1113.84,missed,95.86
542,6109,2024-12-31,1443.54,late,64.56
543,6272,2024-08-06,715.31,late,30.58
544,11488,2024-06-21,840.16,on-time,70.45
545,7085,2023-10-19,1641.58,on-time,65.63
546,4961,2022-01-18,100.74,late,42.23
547,6137,2023-11-27,1664.73,missed,20.22
548,10235,2021-07-20,1481.34,missed,70.44
549,5830,2024-09-04,1404.03,late,56.83
550,14959,2023-11-01,1573.37,on-time,79.51
551,1333,2025-06-07,180.23,late,56.81
552,3540,2022-10-01,1759.01,late,86.7
553,5780,2025-06-30,865.79,on-time,59.67
554,11103,2021-10-27,536.09,missed,60.48
555,13579,2021-11-01,1567.42,late,88.9
556,253,2023-09-08,908.2,on-time,46.31
557,12649,2024-11-29,483.26,on-time,22.06
558,7984,2025-06-26,774.08,late,12.59
559,14783,2022-05-17,579.0,missed,77.96
560,7091,2023-02-14,1673.77,late,65.83
561,1658,2021-11-14,140.66,on-time,73.37
562,4156,2023-06-02,1385.24,missed,29.17
563,1980,2024-07-19,1093.63,late,22.27
564,6291,2023-07-25,1507.14,on-time,11.31
565,10351,2022-04-06,1133.77,late,41.55
566,10170,2023-11-06,198.24,late,63.09
567,6488,2024-07-21,1338.36,late,45.3
568,257,2025-03-28,1919.68,missed,49.37
569,1782,2023-02-19,286.53,missed,91.37
570,7840,2022-07-15,966.78,late,41.34
571,9887,2022-04-11,1432.16,late,56.26
572,14385,2023-01-27,1842.42,late,80.53
573,11538,2023-07-06,756.84,late,45.69
574,264,2025-05-22,763.79,on-time,65.99
575,7829,2025-05-27,1832.72,late,87.61
576,943,2024-08-16,1085.17,missed,95.46
577,699,2021-09-02,1780.25,on-time,23.24
578,1618,2023-03-24,579.07,late,93.39
579,6770,2022-07-29,1290.55,on-time,54.29
580,7703,2024-08-19,297.19,late,33.24
581,8873,2021-07-19,1389.76,missed,51.32
582,13009,2024-03-10,208.13,on-time,98.2
583,5094,2023-02-16,1428.36,late,54.34
584,5532,2025-01-19,1339.34,missed,39.59
585,10458,2024-01-18,1808.71,missed,67.01
586,5855,2021-08-14,1894.56,on-time,31.61
587,732,2023-03-01,1869.59,on-time,16.83
588,9532,2022-10-05,1315.11,late,21.6
589,13387,2023-11-14,847.53,missed,21.52
590,11432,2025-01-20,1244.16,missed,23.67
591,6211,2023-08-25,817.57,missed,22.49
592,13099,2021-11-04,1956.45,missed,67.68
593,5345,2022-09-22,1958.61,on-time,26.37
